⸮⸮x\҈⸮⸮⸮⸮4QIQJº뼨V⸮⸮n⸮ы⸮⸮⸮⸮⸮⸮⸮⸮⸮⸮!XInitializing I2C MPU...
Testing MPU connection...
MPU6050 connection successful
Initializing DMP...
>......>......
//         X Accel  Y Accel  Z Accel   X Gyro   Y Gyro   Z Gyro
// OFFSETS 906.00000,  -307.00000,  1282.00000,  61.00000,  -5.00000,  15.00000
Enabling DMP...
Enabling interrupt detection (Arduino external interrupt 0)...
DMP ready! Waiting for first interrupt...
Initializing altimeter...
Testing altimeter connection...
BMP085 connection successful
ypr	0.22	-0.09	0.19
T/P/A	23.90	98694.00	221
ypr	0.22	-0.10	0.19
T/P/A	23.80	98683.00	222
ypr	0.24	-0.10	0.18
T/P/A	23.90	98691.00	221
ypr	0.25	-0.10	0.18
T/P/A	23.90	98694.00	221
ypr	0.26	-0.11	0.17
T/P/A	23.90	98690.00	221
ypr	0.27	-0.10	0.17
T/P/A	23.90	98691.00	221
ypr	0.28	-0.10	0.17
T/P/A	23.90	98691.00	221
ypr	0.29	-0.10	0.17
T/P/A	23.90	98692.00	221
ypr	0.31	-0.10	0.16
T/P/A	23.90	98688.00	221
ypr	0.32	-0.10	0.16
T/P/A	23.90	98690.00	221
ypr	0.34	-0.10	0.16
T/P/A	23.90	98696.00	221
ypr	0.34	-0.10	0.15
T/P/A	23.90	98688.00	221
ypr	0.35	-0.11	0.16
T/P/A	23.90	98696.00	221
ypr	0.36	-0.11	0.16
T/P/A	23.90	98686.00	222
ypr	0.37	-0.11	0.16
T/P/A	23.90	98698.00	221
ypr	0.38	-0.11	0.15
T/P/A	23.90	98696.00	221
ypr	0.39	-0.11	0.15
T/P/A	23.90	98696.00	221
ypr	0.41	-0.11	0.15
T/P/A	23.90	98698.00	221
ypr	0.42	-0.11	0.15
T/P/A	23.90	98695.00	221
ypr	0.43	-0.11	0.15
T/P/A	23.90	98692.00	221
ypr	0.44	-0.11	0.15
T/P/A	23.90	98694.00	221
ypr	0.45	-0.11	0.15
